"id","date","lc","lon","lat"
"17",2016-10-19 21:47:54,"B",-68.662,41.196
"17",2016-10-19 21:48:19,"B",-68.6621,41.1963
"17",2016-10-19 22:25:05,"2",-68.625,41.168
"17",2016-10-19 22:25:20,"2",-68.6245,41.1675
"17",2016-10-20 07:33:20,"B",-68.6519,41.0198
"17",2016-10-20 09:20:22,"B",-68.6133,41.1987
"17",2016-10-20 09:20:23,"B",-68.613,41.199
"17",2016-10-20 12:20:56,"B",-68.597,41.245
"17",2016-10-20 12:21:21,"B",-68.5971,41.2453
"17",2016-10-20 22:04:07,"B",-68.5274,41.3633
"17",2016-10-20 22:04:08,"B",-68.527,41.363
"17",2016-10-21 00:51:44,"B",-68.5444,41.3817
"17",2016-10-21 07:26:42,"B",-68.3583,41.5353
"17",2016-10-21 07:26:43,"B",-68.358,41.535
"17",2016-10-21 08:33:32,"B",-68.3498,41.555
"17",2016-10-21 08:33:33,"B",-68.35,41.555
"17",2016-10-21 09:03:19,"2",-68.3172,41.5773
"17",2016-10-21 09:03:30,"2",-68.317,41.577
"17",2016-10-21 10:16:54,"B",-68.3058,41.5984
"17",2016-10-21 10:20:58,"3",-68.3276,41.5798
"17",2016-10-21 10:22:20,"3",-68.328,41.58
"17",2016-10-21 11:25:36,"0",-68.3284,41.5724
"17",2016-10-21 11:27:57,"0",-68.328,41.572
"17",2016-10-21 11:49:22,"B",-68.326,41.575
"17",2016-10-21 11:49:57,"B",-68.3257,41.5754
"17",2016-10-21 22:20:22,"B",-68.255,41.6807
"17",2016-10-21 22:49:58,"B",-68.312,41.651
"17",2016-10-21 22:50:22,"B",-68.3116,41.6512
"17",2016-10-21 23:17:04,"A",-68.3514,41.6022
"17",2016-10-22 00:31:10,"B",-68.3538,41.6178
"17",2016-10-22 02:17:07,"B",-68.343,41.5778
"17",2016-10-22 08:53:44,"B",-68.586,41.601
"17",2016-10-22 08:54:06,"B",-68.586,41.6014
"17",2016-10-22 09:37:05,"B",-68.6006,41.5973
"17",2016-10-22 09:52:54,"B",-68.62,41.585
"17",2016-10-22 09:53:15,"B",-68.6199,41.585
"17",2016-10-23 01:09:32,"A",-68.325,41.752
"17",2016-10-23 01:09:54,"A",-68.3249,41.752
"17",2016-10-23 01:10:17,"B",-68.323,41.752
"17",2016-10-23 01:11:10,"B",-68.3235,41.7519
"17",2016-10-23 07:00:17,"B",-68.261,41.865
"17",2016-10-23 07:00:45,"B",-68.2612,41.8649
"17",2016-10-23 09:30:33,"B",-68.181,41.823
"17",2016-10-23 09:31:01,"B",-68.1812,41.8225
"17",2016-10-23 10:47:50,"2",-68.168,41.8218
"17",2016-10-23 11:00:38,"A",-68.1519,41.8285
"17",2016-10-23 11:01:47,"A",-68.152,41.829
"17",2016-10-23 20:11:11,"B",-68.0671,41.8755
"17",2016-10-23 20:11:12,"B",-68.067,41.875
"17",2016-10-23 20:50:12,"0",-67.7934,41.8574
"17",2016-10-23 20:50:37,"A",-67.7924,41.8595
"17",2016-10-23 22:31:02,"B",-67.5634,41.8358
"17",2016-10-23 22:31:03,"B",-67.563,41.836
"17",2016-10-23 23:02:09,"0",-66.4189,41.544
"17",2016-10-23 23:02:22,"0",-66.419,41.544
"17",2016-10-23 23:59:37,"B",-66.5273,41.5759
"17",2016-10-23 23:59:38,"B",-66.527,41.576
"17",2016-10-24 00:45:00,"B",-66.7598,41.6796
"17",2016-10-24 00:45:01,"B",-66.76,41.68
"17",2016-10-24 01:34:15,"B",-66.899,41.763
