"id","date","lc","lon","lat"
"6",2015-10-23 10:27:01,"A",-68.8616,41.1448
"6",2015-10-23 10:27:02,"A",-68.862,41.145
"6",2015-10-23 11:09:36,"2",-68.8276,41.1419
"6",2015-10-23 11:19:10,"2",-68.828,41.142
"6",2015-10-23 11:28:10,"3",-68.8188,41.1395
"6",2015-10-23 11:31:03,"3",-68.819,41.139
"6",2015-10-23 12:03:06,"1",-68.8102,41.1322
"6",2015-10-23 12:03:18,"1",-68.81,41.132
"6",2015-10-23 12:50:12,"B",-68.799,41.136
"6",2015-10-23 12:50:35,"B",-68.7993,41.1358
"6",2015-10-23 12:57:15,"B",-68.7931,41.1336
"6",2015-10-23 13:38:43,"B",-68.7842,41.1318
"6",2015-10-23 13:38:44,"B",-68.784,41.132
"6",2015-10-23 14:35:27,"0",-68.7052,41.0632
"6",2015-10-23 14:41:06,"0",-68.705,41.063
"6",2015-10-23 15:20:22,"B",-68.692,41.036
"6",2015-10-23 15:20:45,"B",-68.6919,41.0363
"6",2015-10-23 17:03:49,"B",-68.6327,40.9846
"6",2015-10-23 17:16:12,"3",-68.7686,41.008
"6",2015-10-23 17:20:27,"3",-68.769,41.008
"6",2015-10-23 18:56:51,"2",-68.7577,41.027
"6",2015-10-23 18:59:27,"2",-68.758,41.027
"6",2015-10-23 21:03:49,"A",-68.823,41.082
"6",2015-10-23 21:04:04,"A",-68.8231,41.0817
"6",2015-10-23 21:08:52,"3",-68.8001,41.1039
"6",2015-10-23 21:11:06,"3",-68.8,41.104
"6",2015-10-23 22:37:53,"2",-68.7768,41.1682
"6",2015-10-23 22:38:18,"1",-68.7819,41.1649
"6",2015-10-23 22:40:02,"1",-68.782,41.165
"6",2015-10-23 22:41:39,"2",-68.777,41.168
"6",2015-10-23 23:29:12,"B",-68.7663,41.1782
"6",2015-10-23 23:29:13,"B",-68.766,41.178
"6",2015-10-24 00:09:41,"B",-68.703,41.219
"6",2015-10-24 00:10:04,"B",-68.7026,41.2193
"6",2015-10-24 01:00:59,"2",-68.7081,41.2116
"6",2015-10-24 01:06:58,"2",-68.708,41.212
"6",2015-10-24 08:14:39,"B",-68.5251,41.3142
"6",2015-10-24 09:01:24,"B",-68.6441,41.2378
"6",2015-10-24 09:52:13,"1",-68.7045,41.2731
"6",2015-10-24 09:54:29,"1",-68.704,41.273
"6",2015-10-24 11:00:17,"B",-68.7207,41.2913
"6",2015-10-24 11:29:56,"B",-68.7297,41.3029
"6",2015-10-24 11:29:57,"B",-68.73,41.303
"6",2015-10-24 15:05:23,"B",-68.776,41.401
"6",2015-10-24 15:07:55,"B",-68.7763,41.4011
"6",2015-10-24 15:53:28,"B",-68.6574,41.402
"6",2015-10-24 15:53:29,"B",-68.657,41.402
"6",2015-10-24 17:00:57,"B",-68.458,41.359
"6",2015-10-24 17:02:43,"B",-68.4577,41.3588
"6",2015-10-24 18:52:09,"B",-68.3055,41.3682
"6",2015-10-24 18:52:10,"B",-68.306,41.368
"6",2015-10-24 20:48:29,"B",-68.1914,41.4548
"6",2015-10-24 20:48:30,"B",-68.191,41.455
"6",2015-10-24 22:04:25,"1",-68.3957,41.4524
"6",2015-10-24 22:04:59,"1",-68.396,41.452
"6",2015-10-24 22:19:04,"B",-68.3959,41.4525
"6",2015-10-24 22:19:05,"B",-68.396,41.453
"6",2015-10-24 23:43:04,"2",-68.3942,41.5179
"6",2015-10-24 23:47:38,"2",-68.394,41.518
"6",2015-10-25 00:42:41,"2",-68.3939,41.5331
"6",2015-10-25 00:50:41,"2",-68.394,41.533
"6",2015-10-25 01:22:18,"B",-68.391,41.547
"6",2015-10-25 01:22:40,"B",-68.3911,41.5467
"6",2015-10-25 01:40:20,"B",-68.395,41.5423
"6",2015-10-25 09:21:54,"B",-68.462,41.406
"6",2015-10-25 09:22:30,"B",-68.4624,41.406
"6",2015-10-25 13:55:34,"B",-68.4651,41.4231
"6",2015-10-25 14:47:31,"1",-68.5067,41.4215
"6",2015-10-25 15:39:33,"B",-68.5198,41.4219
"6",2015-10-25 16:25:31,"B",-68.5302,41.4245
"6",2015-10-25 18:28:59,"2",-68.3846,41.301
"6",2015-10-25 18:39:42,"2",-68.385,41.301
"6",2015-10-25 18:57:17,"B",-68.3845,41.3009
"6",2015-10-26 06:49:14,"B",-68.4307,41.1131
"6",2015-10-26 06:49:15,"B",-68.431,41.113
"6",2015-10-26 09:00:57,"B",-68.4325,41.3855
"6",2015-10-26 10:29:37,"2",-68.4025,41.4384
"6",2015-10-26 10:31:16,"2",-68.403,41.438
"6",2015-10-26 10:32:10,"B",-68.4025,41.4384
"6",2015-10-26 15:19:22,"B",-68.3596,41.5899
"6",2015-10-26 20:26:02,"B",-68.3208,41.7444
"6",2015-10-26 20:26:03,"B",-68.321,41.744
"6",2015-10-26 21:36:23,"B",-68.3355,41.7197
"6",2015-10-26 22:01:10,"2",-68.4284,41.6954
"6",2015-10-26 22:01:34,"2",-68.428,41.695
"6",2015-10-26 22:45:29,"A",-68.4225,41.7186
"6",2015-10-26 22:45:33,"A",-68.423,41.719
"6",2015-10-26 23:10:59,"2",-68.4112,41.6864
"6",2015-10-27 00:02:49,"B",-68.411,41.674
"6",2015-10-27 00:03:12,"B",-68.4112,41.6738
"6",2015-10-27 00:21:34,"1",-68.3915,41.6831
"6",2015-10-27 00:24:53,"1",-68.392,41.683
"6",2015-10-27 00:55:12,"1",-68.4141,41.6898
"6",2015-10-27 01:03:42,"1",-68.414,41.69
"6",2015-10-27 01:40:32,"2",-68.4175,41.692
