"id","date","lc","lon","lat"
"10",2016-10-19 03:20:00,"B",-69.355,41.309
"10",2016-10-19 06:06:00,"B",-68.941,41.585
"10",2016-10-19 07:43:00,"B",-70.599,41.262
"10",2016-10-19 17:30:00,"A",-68.772,41.376
"10",2016-10-20 22:54:00,"0",-68.3027,41.8477
"10",2016-10-20 22:56:00,"0",-68.303,41.848
"10",2016-10-20 23:05:00,"0",-68.315,41.839
"10",2016-10-20 23:06:00,"0",-68.3147,41.8393
"10",2016-10-20 23:44:00,"A",-68.324,41.69
"10",2016-10-20 23:45:00,"A",-68.3235,41.6898
"10",2016-10-21 00:32:00,"0",-68.2762,41.8547
"10",2016-10-21 00:33:00,"0",-68.276,41.855
"10",2016-10-21 00:59:00,"1",-68.2921,41.8802
"10",2016-10-21 01:01:00,"1",-68.292,41.88
"10",2016-10-21 01:49:00,"2",-68.311,41.889
"10",2016-10-21 17:14:00,"B",-68.67,41.788
"10",2016-10-21 17:15:00,"B",-68.6701,41.7882
"10",2016-10-21 18:51:00,"B",-68.57,42.0964
"10",2016-10-21 18:54:00,"B",-68.57,42.096
"10",2016-10-21 22:22:00,"2",-68.5033,42.0839
"10",2016-10-21 22:25:00,"2",-68.503,42.084
"10",2016-10-21 23:16:00,"B",-68.57,42.046
"10",2016-10-22 00:03:00,"1",-68.539,42.052
"10",2016-10-22 00:04:00,"1",-68.5387,42.0521
"10",2016-10-22 22:50:00,"B",-68.971,42.128
"10",2016-10-22 22:51:00,"B",-68.9705,42.1275
"10",2016-10-23 01:53:00,"1",-68.98,42.008
"10",2016-10-23 01:55:00,"1",-68.9798,42.0083
"10",2016-10-24 01:30:00,"B",-68.3214,42.2684
"10",2016-10-24 06:46:00,"0",-69.554,41.86
"10",2016-10-24 06:50:00,"0",-69.5537,41.8601
"10",2016-10-24 08:28:00,"A",-69.5494,41.8411
"10",2016-10-24 08:30:00,"A",-69.549,41.841
"10",2016-10-24 18:16:00,"0",-69.448,41.648
"10",2016-10-24 23:34:00,"0",-69.4596,41.6624
"10",2016-10-24 23:35:00,"0",-69.46,41.662
"10",2016-10-24 23:45:00,"A",-69.492,41.5687
"10",2016-10-25 00:07:00,"1",-69.4635,41.5548
"10",2016-10-25 00:09:00,"1",-69.463,41.555
"10",2016-10-25 01:09:00,"0",-69.437,41.544
"10",2016-10-25 01:15:00,"0",-69.437,41.5443
"10",2016-10-26 06:27:00,"B",-69.277,41.287
"10",2016-10-26 08:09:00,"0",-69.244,41.237
"10",2016-10-26 09:15:00,"0",-69.301,41.244
"10",2016-10-26 17:57:00,"B",-69.181,41.08
"10",2016-10-26 19:37:00,"0",-69.112,41.063
"10",2016-10-28 17:31:00,"B",-68.665,41.02
"10",2016-10-28 20:28:00,"B",-68.607,40.893
"10",2016-10-28 22:05:00,"0",-68.657,40.866
"10",2016-10-28 22:06:00,"2",-68.644,40.863
"10",2016-10-28 23:15:00,"B",-68.661,40.853
"10",2016-10-28 23:46:00,"3",-68.64,40.852
"10",2016-10-29 00:42:00,"B",-68.751,40.866
"10",2016-10-30 10:27:00,"A",-68.212,40.334
"10",2016-10-30 11:33:00,"0",-68.704,40.005
"10",2016-10-30 13:02:00,"B",-68.761,40.123
"10",2016-10-30 15:08:00,"1",-68.807,40.05
"10",2016-10-30 17:09:00,"B",-68.793,39.995
"10",2016-10-31 12:51:00,"0",-68.99,39.901
"10",2016-11-01 02:13:00,"0",-69.245,39.744
"10",2016-11-01 07:02:00,"0",-69.454,39.589
"10",2016-11-04 06:27:00,"A",-70.663,39.546
"10",2016-11-05 19:20:00,"0",-71.121,39.754
"10",2016-11-07 07:33:00,"1",-71.581,39.735
"10",2016-11-07 11:20:00,"B",-71.583,39.751
"10",2016-11-08 07:23:00,"A",-71.656,39.69
"10",2016-11-08 09:31:00,"1",-71.647,39.685
"10",2016-11-08 18:47:00,"0",-71.645,39.713
"10",2016-11-08 22:45:00,"B",-71.654,39.675
"10",2016-11-09 02:44:00,"B",-71.644,39.68
"10",2016-11-09 20:56:00,"A",-71.548,39.561
"10",2016-11-09 22:06:00,"1",-71.684,39.634
"10",2016-11-09 22:33:00,"1",-71.782,39.614
"10",2016-11-10 09:50:00,"B",-71.75,39.619
"10",2016-11-10 10:56:00,"B",-71.808,39.595
"10",2016-11-10 20:02:00,"B",-71.935,39.421
"10",2016-11-11 10:50:00,"B",-72.083,39.462
"10",2016-11-11 10:53:00,"0",-72.117,39.256
"10",2016-11-11 23:13:00,"B",-72.281,39.58
"10",2016-11-12 06:35:00,"0",-71.88,39.522
"10",2016-11-12 08:46:00,"0",-71.861,39.516
"10",2016-11-12 22:30:00,"1",-71.665,39.532
"10",2016-11-12 22:37:00,"1",-71.639,39.521
"10",2016-11-13 17:50:00,"0",-71.711,39.329
"10",2016-11-14 01:03:00,"B",-71.688,39.262
"10",2016-11-14 02:38:00,"A",-71.767,39.219
"10",2016-11-14 17:42:00,"B",-71.871,39.005
"10",2016-11-16 07:29:00,"B",-72.473,38.507
"10",2016-11-16 15:12:00,"B",-72.597,38.488
"10",2016-11-16 20:50:00,"B",-72.675,38.514
"10",2016-11-17 22:06:00,"1",-73.035,38.272
"10",2016-11-18 02:58:00,"A",-73.047,38.165
"10",2016-11-18 10:25:00,"0",-73.205,38.112
"10",2016-11-18 22:50:00,"0",-73.344,38
"10",2016-11-19 00:57:00,"1",-73.352,37.975
"10",2016-11-19 08:41:00,"B",-73.459,37.892
"10",2016-11-19 10:07:00,"B",-73.449,37.88
"10",2016-11-22 10:17:00,"B",-73.758,37.752
"10",2016-11-22 10:22:00,"A",-73.853,37.888
"10",2016-11-23 00:11:00,"B",-73.78,37.973
"10",2016-11-23 02:56:00,"B",-74.09,37.766
"10",2016-11-23 09:35:00,"B",-73.965,37.843
"10",2016-11-25 23:43:00,"A",-73.996,37.496
"10",2016-11-26 11:14:00,"A",-74.086,37.461
"10",2016-11-26 23:21:00,"1",-73.848,37.446
"10",2016-11-26 23:42:00,"1",-73.858,37.447
"10",2016-11-28 01:11:00,"A",-74.333,37.108
"10",2016-11-29 23:45:00,"1",-74.09,36.383
"10",2016-11-29 23:47:00,"B",-74.111,36.399
"10",2016-11-30 02:05:00,"0",-73.684,36.583
"10",2016-11-30 19:36:00,"1",-73.286,37.429
"10",2016-11-30 23:21:00,"B",-73.549,37.475
"10",2016-12-01 22:47:00,"0",-73.535,37.295
"10",2016-12-01 22:56:00,"A",-73.516,37.292
"10",2016-12-02 01:28:00,"1",-73.552,37.334
"10",2016-12-02 22:16:00,"1",-73.473,37.258
"10",2016-12-03 01:03:00,"B",-73.471,37.255
"10",2016-12-03 02:44:00,"A",-73.426,37.273
"10",2016-12-03 19:03:00,"0",-73.661,37.139
"10",2016-12-03 22:57:00,"1",-73.747,37.123
"10",2016-12-03 23:25:00,"0",-73.947,37.155
"10",2016-12-04 01:35:00,"B",-73.31,36.737
"10",2016-12-04 02:26:00,"A",-73.935,37.092
"10",2016-12-05 07:16:00,"1",-74.505,36.755
"10",2016-12-05 10:08:00,"2",-74.524,36.671
"10",2016-12-05 18:40:00,"A",-74.362,36.573
"10",2016-12-05 21:15:00,"2",-74.262,36.606
"10",2016-12-05 22:38:00,"0",-74.256,36.599
"10",2016-12-05 22:54:00,"0",-74.211,36.608
"10",2016-12-06 00:02:00,"0",-74.171,36.599
"10",2016-12-06 00:04:00,"A",-74.07,37.196
